dt,AverageTemperature,MaxTemperature,MinTemperature
1982-03-22,26.15,30.15,22.15
1982-03-23,26.54,30.54,22.54
1982-03-24,25.14,29.14,21.14
1982-03-25,27.65,31.65,23.65
1982-03-26,27.15,31.15,23.15
1982-03-27,25.94,29.94,21.94
1982-03-28,26.97,30.97,22.97
1982-03-29,25.26,29.26,21.26
1982-03-30,27.18,31.18,23.18
1982-03-31,28.6,32.6,24.6
1982-04-01,26.18,30.18,22.18
1982-04-02,27.58,31.58,23.58
1982-04-03,25.44,29.44,21.44
1982-04-04,27.78,31.78,23.78
1982-04-05,26.07,30.07,22.07
1982-04-06,25.64,29.64,21.64
1982-04-07,27.26,31.26,23.26
1982-04-08,24.99,28.99,20.99
1982-04-09,28.23,32.230000000000004,24.23
1982-04-10,24.93,28.93,20.93
1982-04-11,27.62,31.62,23.62
1982-04-12,25.99,29.99,21.99
1982-04-13,27.85,31.85,23.85
1982-04-14,28.76,32.760000000000005,24.76
1982-04-15,25.91,29.91,21.91
1982-04-16,27.21,31.21,23.21
1982-04-17,27.28,31.28,23.28
1982-04-18,27.2,31.2,23.2
1982-04-19,25.8,29.8,21.8
1982-04-20,28.72,32.72,24.72
1982-04-21,26.7,30.7,22.7
1982-04-22,28.3,32.3,24.3
1982-04-23,27.71,31.71,23.71
1982-04-24,26.1,30.1,22.1
1982-04-25,28.17,32.17,24.17
1982-04-26,26.5,30.5,22.5
1982-04-27,28.43,32.43,24.43
1982-04-28,27.24,31.24,23.24
1982-04-29,28.44,32.44,24.44
1982-04-30,27.68,31.68,23.68
1982-05-01,27.04,31.04,23.04
1982-05-02,26.15,30.15,22.15
1982-05-03,27.96,31.96,23.96
1982-05-04,26.72,30.72,22.72
1982-05-05,25.84,29.84,21.84
1982-05-06,26.57,30.57,22.57
1982-05-07,24.22,28.22,20.22
1982-05-08,25.35,29.35,21.35
1982-05-09,26.78,30.78,22.78
1982-05-10,25.3,29.3,21.3
1982-05-11,26.61,30.61,22.61
1982-05-12,25.86,29.86,21.86
1982-05-13,24.68,28.68,20.68
1982-05-14,25.33,29.33,21.33
1982-05-15,26.42,30.42,22.42
1982-05-16,26.5,30.5,22.5
1982-05-17,26.44,30.44,22.44
1982-05-18,26.75,30.75,22.75
1982-05-19,26.75,30.75,22.75
1982-05-20,25.87,29.87,21.87
1982-05-21,27.73,31.73,23.73
1982-05-22,25.61,29.61,21.61
1982-05-23,25.88,29.88,21.88
1982-05-24,27.71,31.71,23.71
1982-05-25,27.36,31.36,23.36
1982-05-26,26.96,30.96,22.96
1982-05-27,24.54,28.54,20.54
1982-05-28,27.82,31.82,23.82
1982-05-29,27.0,31.0,23.0
1982-05-30,28.14,32.14,24.14
1982-05-31,24.74,28.74,20.74
1982-06-01,27.64,31.64,23.64
1982-06-02,24.82,28.82,20.82
1982-06-03,26.63,30.63,22.63
1982-06-04,24.67,28.67,20.67
1982-06-05,27.56,31.56,23.56
1982-06-06,27.4,31.4,23.4
1982-06-07,26.45,30.45,22.45
1982-06-08,25.8,29.8,21.8
1982-06-09,24.45,28.45,20.45
1982-06-10,26.96,30.96,22.96
1982-06-11,25.98,29.98,21.98
1982-06-12,27.06,31.06,23.06
1982-06-13,27.64,31.64,23.64
1982-06-14,28.07,32.07,24.07
1982-06-15,27.59,31.59,23.59
1982-06-16,24.22,28.22,20.22
1982-06-17,25.61,29.61,21.61
1982-06-18,27.09,31.09,23.09
1982-06-19,24.86,28.86,20.86
1982-06-20,26.25,30.25,22.25
1982-06-21,24.39,28.39,20.39
1982-06-22,24.97,28.97,20.97
1982-06-23,24.24,28.24,20.24
1982-06-24,27.34,31.34,23.34
1982-06-25,25.07,29.07,21.07
1982-06-26,25.55,29.55,21.55
1982-06-27,27.88,31.88,23.88
1982-06-28,26.99,30.99,22.99
1982-06-29,24.3,28.3,20.3
1982-06-30,24.83,28.83,20.83
1982-07-01,26.48,30.48,22.48
1982-07-02,26.3,30.3,22.3
1982-07-03,24.94,28.94,20.94
1982-07-04,27.73,31.73,23.73
1982-07-05,26.45,30.45,22.45
1982-07-06,26.13,30.13,22.13
1982-07-07,26.35,30.35,22.35
1982-07-08,26.91,30.91,22.91
1982-07-09,25.24,29.24,21.24
1982-07-10,25.58,29.58,21.58
1982-07-11,24.83,28.83,20.83
1982-07-12,24.73,28.73,20.73
1982-07-13,27.77,31.77,23.77
1982-07-14,26.95,30.95,22.95
1982-07-15,25.95,29.95,21.95
1982-07-16,24.9,28.9,20.9
1982-07-17,25.01,29.01,21.01
1982-07-18,24.22,28.22,20.22
1982-07-19,25.73,29.73,21.73
1982-07-20,25.24,29.24,21.24
1982-07-21,26.78,30.78,22.78
1982-07-22,25.5,29.5,21.5
1982-07-23,24.71,28.71,20.71
1982-07-24,24.09,28.09,20.09
1982-07-25,24.26,28.26,20.26
1982-07-26,26.71,30.71,22.71
1982-07-27,25.8,29.8,21.8
1982-07-28,26.14,30.14,22.14
1982-07-29,27.58,31.58,23.58
1982-07-30,27.95,31.95,23.95
1982-07-31,24.86,28.86,20.86
1982-08-01,27.34,31.34,23.34
1982-08-02,25.74,29.74,21.74
1982-08-03,24.77,28.77,20.77
1982-08-04,27.72,31.72,23.72
1982-08-05,25.97,29.97,21.97
1982-08-06,26.22,30.22,22.22
1982-08-07,27.04,31.04,23.04
1982-08-08,28.01,32.010000000000005,24.01
1982-08-09,27.21,31.21,23.21
1982-08-10,28.18,32.18,24.18
1982-08-11,25.78,29.78,21.78
1982-08-12,27.88,31.88,23.88
1982-08-13,25.43,29.43,21.43
1982-08-14,28.5,32.5,24.5
1982-08-15,27.44,31.44,23.44
1982-08-16,25.55,29.55,21.55
1982-08-17,28.48,32.480000000000004,24.48
1982-08-18,27.61,31.61,23.61
1982-08-19,25.71,29.71,21.71
1982-08-20,25.54,29.54,21.54
1982-08-21,26.76,30.76,22.76
1982-08-22,24.79,28.79,20.79
1982-08-23,25.52,29.52,21.52
1982-08-24,26.39,30.39,22.39
1982-08-25,26.19,30.19,22.19
1982-08-26,26.54,30.54,22.54
1982-08-27,25.8,29.8,21.8
1982-08-28,27.04,31.04,23.04
1982-08-29,28.15,32.15,24.15
1982-08-30,25.16,29.16,21.16
1982-08-31,26.76,30.76,22.76
1982-09-01,24.24,28.24,20.24
1982-09-02,26.58,30.58,22.58
1982-09-03,25.29,29.29,21.29
1982-09-04,25.97,29.97,21.97
1982-09-05,24.44,28.44,20.44
1982-09-06,24.29,28.29,20.29
1982-09-07,25.66,29.66,21.66
1982-09-08,25.13,29.13,21.13
1982-09-09,27.47,31.47,23.47
1982-09-10,26.77,30.77,22.77
1982-09-11,26.7,30.7,22.7
1982-09-12,27.32,31.32,23.32
1982-09-13,24.04,28.04,20.04
1982-09-14,25.92,29.92,21.92
1982-09-15,26.05,30.05,22.05
1982-09-16,27.56,31.56,23.56
1982-09-17,24.88,28.88,20.88
1982-09-18,24.67,28.67,20.67
1982-09-19,24.11,28.11,20.11
1982-09-20,23.78,27.78,19.78
1982-09-21,27.43,31.43,23.43
1982-09-22,26.39,30.39,22.39
1982-09-23,26.85,30.85,22.85
1982-09-24,24.84,28.84,20.84
1982-09-25,26.06,30.06,22.06
1982-09-26,23.97,27.97,19.97
1982-09-27,25.65,29.65,21.65
1982-09-28,27.62,31.62,23.62
1982-09-29,27.22,31.22,23.22
1982-09-30,25.06,29.06,21.06
1982-10-01,27.0,31.0,23.0
1982-10-02,24.08,28.08,20.08
1982-10-03,26.95,30.95,22.95
1982-10-04,26.92,30.92,22.92
1982-10-05,26.35,30.35,22.35
1982-10-06,25.67,29.67,21.67
1982-10-07,26.65,30.65,22.65
1982-10-08,24.32,28.32,20.32
1982-10-09,26.55,30.55,22.55
1982-10-10,25.62,29.62,21.62
1982-10-11,23.2,27.2,19.2
1982-10-12,24.54,28.54,20.54
1982-10-13,23.74,27.74,19.74
1982-10-14,27.08,31.08,23.08
1982-10-15,25.06,29.06,21.06
1982-10-16,25.14,29.14,21.14
1982-10-17,25.71,29.71,21.71
1982-10-18,24.62,28.62,20.62
1982-10-19,23.7,27.7,19.7
1982-10-20,26.44,30.44,22.44
1982-10-21,23.91,27.91,19.91
1982-10-22,25.2,29.2,21.2
1982-10-23,24.05,28.05,20.05
1982-10-24,23.54,27.54,19.54
1982-10-25,26.6,30.6,22.6
1982-10-26,27.04,31.04,23.04
1982-10-27,26.99,30.99,22.99
1982-10-28,26.78,30.78,22.78
1982-10-29,26.25,30.25,22.25
1982-10-30,24.48,28.48,20.48
1982-10-31,23.47,27.47,19.47
1982-11-01,25.41,29.41,21.41
1982-11-02,24.71,28.71,20.71
1982-11-03,24.31,28.31,20.31
1982-11-04,23.99,27.99,19.99
1982-11-05,26.68,30.68,22.68
1982-11-06,23.83,27.83,19.83
1982-11-07,26.86,30.86,22.86
1982-11-08,24.37,28.37,20.37
1982-11-09,24.1,28.1,20.1
1982-11-10,24.14,28.14,20.14
1982-11-11,26.47,30.47,22.47
1982-11-12,24.76,28.76,20.76
1982-11-13,25.46,29.46,21.46
1982-11-14,26.01,30.01,22.01
1982-11-15,27.22,31.22,23.22
1982-11-16,26.69,30.69,22.69
1982-11-17,24.86,28.86,20.86
1982-11-18,24.31,28.31,20.31
1982-11-19,24.0,28.0,20.0
1982-11-20,24.99,28.99,20.99
1982-11-21,24.83,28.83,20.83
1982-11-22,25.6,29.6,21.6
1982-11-23,26.51,30.51,22.51
1982-11-24,26.56,30.56,22.56
1982-11-25,24.91,28.91,20.91
1982-11-26,25.3,29.3,21.3
1982-11-27,24.5,28.5,20.5
1982-11-28,26.93,30.93,22.93
1982-11-29,24.01,28.01,20.01
1982-11-30,26.57,30.57,22.57
1982-12-01,27.03,31.03,23.03
1982-12-02,27.03,31.03,23.03
1982-12-03,24.96,28.96,20.96
1982-12-04,25.42,29.42,21.42
1982-12-05,26.27,30.27,22.27
1982-12-06,25.01,29.01,21.01
1982-12-07,25.4,29.4,21.4
1982-12-08,24.71,28.71,20.71
1982-12-09,25.76,29.76,21.76
1982-12-10,24.1,28.1,20.1
1982-12-11,27.12,31.12,23.12
1982-12-12,24.23,28.23,20.23
1982-12-13,26.0,30.0,22.0
1982-12-14,25.15,29.15,21.15
1982-12-15,26.23,30.23,22.23
1982-12-16,27.76,31.76,23.76
1982-12-17,26.5,30.5,22.5
1982-12-18,24.06,28.06,20.06
1982-12-19,25.64,29.64,21.64
1982-12-20,25.96,29.96,21.96
1982-12-21,26.06,30.06,22.06
1982-12-22,26.65,30.65,22.65
1982-12-23,25.03,29.03,21.03
1982-12-24,24.44,28.44,20.44
1982-12-25,25.49,29.49,21.49
1982-12-26,27.75,31.75,23.75
1982-12-27,24.67,28.67,20.67
1982-12-28,27.54,31.54,23.54
1982-12-29,26.1,30.1,22.1
1982-12-30,25.75,29.75,21.75
1982-12-31,27.45,31.45,23.45
1983-01-01,26.17,30.17,22.17
1983-01-02,27.24,31.24,23.24
1983-01-03,25.94,29.94,21.94
1983-01-04,27.96,31.96,23.96
1983-01-05,27.1,31.1,23.1
1983-01-06,27.14,31.14,23.14
1983-01-07,25.65,29.65,21.65
1983-01-08,27.37,31.37,23.37
1983-01-09,26.88,30.88,22.88
1983-01-10,25.3,29.3,21.3
1983-01-11,24.98,28.98,20.98
1983-01-12,27.53,31.53,23.53
1983-01-13,28.18,32.18,24.18
1983-01-14,26.17,30.17,22.17
1983-01-15,26.7,30.7,22.7
1983-01-16,27.77,31.77,23.77
1983-01-17,26.17,30.17,22.17
1983-01-18,28.15,32.15,24.15
1983-01-19,26.64,30.64,22.64
1983-01-20,27.62,31.62,23.62
1983-01-21,27.98,31.98,23.98
1983-01-22,27.6,31.6,23.6
1983-01-23,24.98,28.98,20.98
1983-01-24,26.86,30.86,22.86
1983-01-25,25.93,29.93,21.93
1983-01-26,24.59,28.59,20.59
1983-01-27,26.04,30.04,22.04
1983-01-28,25.37,29.37,21.37
1983-01-29,27.74,31.74,23.74
1983-01-30,24.47,28.47,20.47
1983-01-31,28.18,32.18,24.18
1983-02-01,26.33,30.33,22.33
1983-02-02,26.34,30.34,22.34
1983-02-03,24.98,28.98,20.98
1983-02-04,25.65,29.65,21.65
1983-02-05,26.52,30.52,22.52
1983-02-06,28.63,32.629999999999995,24.63
1983-02-07,25.31,29.31,21.31
1983-02-08,28.69,32.69,24.69
1983-02-09,28.39,32.39,24.39
1983-02-10,26.73,30.73,22.73
1983-02-11,26.22,30.22,22.22
1983-02-12,25.84,29.84,21.84
1983-02-13,27.37,31.37,23.37
1983-02-14,25.04,29.04,21.04
1983-02-15,24.97,28.97,20.97
1983-02-16,26.63,30.63,22.63
1983-02-17,25.18,29.18,21.18
1983-02-18,25.92,29.92,21.92
1983-02-19,25.79,29.79,21.79
1983-02-20,25.92,29.92,21.92
1983-02-21,25.43,29.43,21.43
1983-02-22,24.96,28.96,20.96
1983-02-23,25.37,29.37,21.37
1983-02-24,27.38,31.38,23.38
1983-02-25,28.81,32.81,24.81
1983-02-26,28.87,32.870000000000005,24.87
1983-02-27,26.55,30.55,22.55
1983-02-28,25.56,29.56,21.56
1983-03-01,28.15,32.15,24.15
1983-03-02,27.55,31.55,23.55
1983-03-03,29.55,33.55,25.55
1983-03-04,25.85,29.85,21.85
1983-03-05,28.72,32.72,24.72
1983-03-06,26.74,30.74,22.74
1983-03-07,26.56,30.56,22.56
1983-03-08,28.24,32.239999999999995,24.24
1983-03-09,26.57,30.57,22.57
1983-03-10,28.25,32.25,24.25
1983-03-11,27.66,31.66,23.66
1983-03-12,27.29,31.29,23.29
1983-03-13,27.81,31.81,23.81
1983-03-14,26.74,30.74,22.74
1983-03-15,28.42,32.42,24.42
1983-03-16,27.25,31.25,23.25
1983-03-17,27.03,31.03,23.03
1983-03-18,28.9,32.9,24.9
1983-03-19,29.29,33.29,25.29
1983-03-20,25.77,29.77,21.77
1983-03-21,26.52,30.52,22.52
1983-03-22,26.98,30.98,22.98
1983-03-23,28.85,32.85,24.85
1983-03-24,29.53,33.53,25.53
1983-03-25,29.47,33.47,25.47
1983-03-26,29.21,33.21,25.21
1983-03-27,26.78,30.78,22.78
1983-03-28,29.56,33.56,25.56
1983-03-29,26.59,30.59,22.59
1983-03-30,26.01,30.01,22.01
1983-03-31,29.39,33.39,25.39
1983-04-01,26.7,30.7,22.7
1983-04-02,28.53,32.53,24.53
1983-04-03,26.0,30.0,22.0
1983-04-04,28.69,32.69,24.69
1983-04-05,29.3,33.3,25.3
1983-04-06,26.86,30.86,22.86
1983-04-07,27.29,31.29,23.29
1983-04-08,27.27,31.27,23.27
1983-04-09,28.77,32.769999999999996,24.77
1983-04-10,26.72,30.72,22.72
1983-04-11,26.46,30.46,22.46
1983-04-12,27.57,31.57,23.57
1983-04-13,26.99,30.99,22.99
1983-04-14,29.13,33.129999999999995,25.13
1983-04-15,26.72,30.72,22.72
1983-04-16,27.78,31.78,23.78
1983-04-17,29.54,33.54,25.54
1983-04-18,28.31,32.31,24.31
1983-04-19,29.24,33.239999999999995,25.24
1983-04-20,29.53,33.53,25.53
1983-04-21,28.77,32.769999999999996,24.77
1983-04-22,28.57,32.57,24.57
1983-04-23,29.64,33.64,25.64
1983-04-24,29.75,33.75,25.75
1983-04-25,27.58,31.58,23.58
1983-04-26,26.05,30.05,22.05
1983-04-27,26.94,30.94,22.94
1983-04-28,26.38,30.38,22.38
1983-04-29,27.44,31.44,23.44
1983-04-30,26.3,30.3,22.3
1983-05-01,28.32,32.32,24.32
1983-05-02,27.43,31.43,23.43
1983-05-03,29.48,33.480000000000004,25.48
1983-05-04,29.77,33.769999999999996,25.77
1983-05-05,28.09,32.09,24.09
1983-05-06,27.0,31.0,23.0
1983-05-07,28.27,32.269999999999996,24.27
1983-05-08,29.49,33.489999999999995,25.49
1983-05-09,27.53,31.53,23.53
1983-05-10,28.11,32.11,24.11
1983-05-11,26.99,30.99,22.99
1983-05-12,27.72,31.72,23.72
1983-05-13,27.51,31.51,23.51
1983-05-14,26.89,30.89,22.89
1983-05-15,27.92,31.92,23.92
1983-05-16,27.14,31.14,23.14
1983-05-17,27.39,31.39,23.39
1983-05-18,28.0,32.0,24.0
1983-05-19,28.9,32.9,24.9
1983-05-20,27.23,31.23,23.23
1983-05-21,29.6,33.6,25.6
1983-05-22,29.35,33.35,25.35
1983-05-23,26.09,30.09,22.09
1983-05-24,26.91,30.91,22.91
1983-05-25,27.68,31.68,23.68
1983-05-26,26.32,30.32,22.32
1983-05-27,27.29,31.29,23.29
1983-05-28,28.86,32.86,24.86
1983-05-29,28.62,32.620000000000005,24.62
1983-05-30,28.39,32.39,24.39
1983-05-31,28.74,32.739999999999995,24.74
1983-06-01,25.82,29.82,21.82
1983-06-02,26.37,30.37,22.37
1983-06-03,27.7,31.7,23.7
1983-06-04,28.52,32.519999999999996,24.52
1983-06-05,27.17,31.17,23.17
1983-06-06,26.13,30.13,22.13
1983-06-07,25.12,29.12,21.12
1983-06-08,27.84,31.84,23.84
1983-06-09,25.03,29.03,21.03
1983-06-10,26.49,30.49,22.49
1983-06-11,27.12,31.12,23.12
1983-06-12,28.69,32.69,24.69
1983-06-13,25.36,29.36,21.36
1983-06-14,26.62,30.62,22.62
1983-06-15,25.1,29.1,21.1
1983-06-16,26.37,30.37,22.37
1983-06-17,27.49,31.49,23.49
1983-06-18,26.12,30.12,22.12
1983-06-19,25.84,29.84,21.84
1983-06-20,25.46,29.46,21.46
1983-06-21,27.31,31.31,23.31
1983-06-22,27.78,31.78,23.78
1983-06-23,27.69,31.69,23.69
1983-06-24,28.8,32.8,24.8
1983-06-25,25.01,29.01,21.01
1983-06-26,27.59,31.59,23.59
1983-06-27,27.4,31.4,23.4
1983-06-28,27.35,31.35,23.35
1983-06-29,28.85,32.85,24.85
1983-06-30,25.07,29.07,21.07
1983-07-01,27.45,31.45,23.45
1983-07-02,27.91,31.91,23.91
1983-07-03,26.7,30.7,22.7
1983-07-04,26.0,30.0,22.0
1983-07-05,27.82,31.82,23.82
1983-07-06,25.05,29.05,21.05
1983-07-07,26.43,30.43,22.43
1983-07-08,26.74,30.74,22.74
1983-07-09,27.44,31.44,23.44
1983-07-10,25.02,29.02,21.02
1983-07-11,25.57,29.57,21.57
1983-07-12,26.3,30.3,22.3
1983-07-13,27.15,31.15,23.15
1983-07-14,28.21,32.21,24.21
1983-07-15,27.14,31.14,23.14
1983-07-16,25.19,29.19,21.19
1983-07-17,28.58,32.58,24.58
1983-07-18,28.15,32.15,24.15
1983-07-19,26.67,30.67,22.67
1983-07-20,28.35,32.35,24.35
1983-07-21,26.83,30.83,22.83
1983-07-22,28.35,32.35,24.35
1983-07-23,27.98,31.98,23.98
1983-07-24,28.53,32.53,24.53
1983-07-25,28.34,32.34,24.34
1983-07-26,24.8,28.8,20.8
1983-07-27,25.36,29.36,21.36
1983-07-28,26.22,30.22,22.22
1983-07-29,28.47,32.47,24.47
1983-07-30,25.86,29.86,21.86
1983-07-31,25.3,29.3,21.3
1983-08-01,27.98,31.98,23.98
1983-08-02,26.22,30.22,22.22
1983-08-03,28.06,32.06,24.06
1983-08-04,25.07,29.07,21.07
1983-08-05,27.07,31.07,23.07
1983-08-06,26.19,30.19,22.19
1983-08-07,24.74,28.74,20.74
1983-08-08,27.22,31.22,23.22
1983-08-09,25.42,29.42,21.42
1983-08-10,24.59,28.59,20.59
1983-08-11,24.67,28.67,20.67
1983-08-12,24.67,28.67,20.67
1983-08-13,28.06,32.06,24.06
1983-08-14,27.39,31.39,23.39
1983-08-15,28.02,32.019999999999996,24.02
1983-08-16,27.12,31.12,23.12
1983-08-17,26.55,30.55,22.55
1983-08-18,25.65,29.65,21.65
1983-08-19,28.42,32.42,24.42
1983-08-20,25.88,29.88,21.88
1983-08-21,26.31,30.31,22.31
1983-08-22,25.94,29.94,21.94
1983-08-23,28.35,32.35,24.35
1983-08-24,25.13,29.13,21.13
1983-08-25,25.74,29.74,21.74
1983-08-26,27.15,31.15,23.15
1983-08-27,24.68,28.68,20.68
1983-08-28,26.86,30.86,22.86
1983-08-29,26.34,30.34,22.34
1983-08-30,25.57,29.57,21.57
1983-08-31,25.38,29.38,21.38
1983-09-01,25.82,29.82,21.82
1983-09-02,25.23,29.23,21.23
1983-09-03,25.59,29.59,21.59
1983-09-04,25.11,29.11,21.11
1983-09-05,27.64,31.64,23.64
1983-09-06,24.29,28.29,20.29
1983-09-07,24.15,28.15,20.15
1983-09-08,25.13,29.13,21.13
1983-09-09,26.12,30.12,22.12
1983-09-10,26.4,30.4,22.4
1983-09-11,25.35,29.35,21.35
1983-09-12,27.76,31.76,23.76
1983-09-13,25.17,29.17,21.17
1983-09-14,26.65,30.65,22.65
1983-09-15,26.31,30.31,22.31
1983-09-16,27.01,31.01,23.01
1983-09-17,27.66,31.66,23.66
1983-09-18,27.32,31.32,23.32
1983-09-19,26.82,30.82,22.82
1983-09-20,26.55,30.55,22.55
1983-09-21,25.1,29.1,21.1
1983-09-22,24.35,28.35,20.35
1983-09-23,24.01,28.01,20.01
1983-09-24,24.73,28.73,20.73
1983-09-25,25.49,29.49,21.49
1983-09-26,25.85,29.85,21.85
1983-09-27,26.85,30.85,22.85
1983-09-28,27.59,31.59,23.59
1983-09-29,24.23,28.23,20.23
1983-09-30,24.19,28.19,20.19
1983-10-01,25.46,29.46,21.46
1983-10-02,26.08,30.08,22.08
1983-10-03,26.49,30.49,22.49
1983-10-04,26.84,30.84,22.84
1983-10-05,27.03,31.03,23.03
1983-10-06,24.7,28.7,20.7
1983-10-07,24.62,28.62,20.62
1983-10-08,23.69,27.69,19.69
1983-10-09,25.84,29.84,21.84
1983-10-10,25.73,29.73,21.73
1983-10-11,26.55,30.55,22.55
1983-10-12,23.49,27.49,19.49
1983-10-13,25.09,29.09,21.09
1983-10-14,25.42,29.42,21.42
1983-10-15,24.07,28.07,20.07
1983-10-16,23.78,27.78,19.78
1983-10-17,26.54,30.54,22.54
1983-10-18,23.33,27.33,19.33
1983-10-19,24.98,28.98,20.98
1983-10-20,23.56,27.56,19.56
1983-10-21,24.93,28.93,20.93
1983-10-22,27.02,31.02,23.02
1983-10-23,24.79,28.79,20.79
1983-10-24,26.53,30.53,22.53
1983-10-25,23.57,27.57,19.57
1983-10-26,24.19,28.19,20.19
1983-10-27,24.72,28.72,20.72
1983-10-28,24.7,28.7,20.7
1983-10-29,25.79,29.79,21.79
1983-10-30,24.48,28.48,20.48
1983-10-31,25.96,29.96,21.96
1983-11-01,26.01,30.01,22.01
1983-11-02,25.05,29.05,21.05
1983-11-03,25.18,29.18,21.18
1983-11-04,25.91,29.91,21.91
1983-11-05,23.73,27.73,19.73
1983-11-06,26.74,30.74,22.74
1983-11-07,26.06,30.06,22.06
1983-11-08,26.36,30.36,22.36
1983-11-09,25.6,29.6,21.6
1983-11-10,23.89,27.89,19.89
1983-11-11,25.07,29.07,21.07
1983-11-12,25.07,29.07,21.07
1983-11-13,24.73,28.73,20.73
1983-11-14,23.57,27.57,19.57
1983-11-15,26.4,30.4,22.4
1983-11-16,23.89,27.89,19.89
1983-11-17,25.88,29.88,21.88
1983-11-18,26.26,30.26,22.26
1983-11-19,25.99,29.99,21.99
1983-11-20,27.29,31.29,23.29
1983-11-21,23.86,27.86,19.86
1983-11-22,26.92,30.92,22.92
1983-11-23,23.57,27.57,19.57
1983-11-24,25.59,29.59,21.59
1983-11-25,25.07,29.07,21.07
1983-11-26,25.55,29.55,21.55
1983-11-27,24.91,28.91,20.91
1983-11-28,24.21,28.21,20.21
1983-11-29,23.53,27.53,19.53
1983-11-30,25.52,29.52,21.52
1983-12-01,26.57,30.57,22.57
1983-12-02,24.69,28.69,20.69
1983-12-03,24.09,28.09,20.09
1983-12-04,23.52,27.52,19.52
1983-12-05,23.54,27.54,19.54
1983-12-06,24.09,28.09,20.09
1983-12-07,23.6,27.6,19.6
1983-12-08,24.26,28.26,20.26
1983-12-09,23.46,27.46,19.46
1983-12-10,23.46,27.46,19.46
1983-12-11,26.63,30.63,22.63
1983-12-12,23.85,27.85,19.85
1983-12-13,25.44,29.44,21.44
1983-12-14,26.29,30.29,22.29
1983-12-15,25.03,29.03,21.03
1983-12-16,23.81,27.81,19.81
1983-12-17,24.0,28.0,20.0
1983-12-18,24.93,28.93,20.93
1983-12-19,25.31,29.31,21.31
1983-12-20,24.6,28.6,20.6
1983-12-21,26.33,30.33,22.33
1983-12-22,26.2,30.2,22.2
1983-12-23,26.91,30.91,22.91
1983-12-24,23.32,27.32,19.32
1983-12-25,26.78,30.78,22.78
1983-12-26,24.77,28.77,20.77
1983-12-27,26.71,30.71,22.71
1983-12-28,25.96,29.96,21.96
1983-12-29,27.15,31.15,23.15
1983-12-30,26.24,30.24,22.24
